2022-09-26 17:41:10.392 [main] INFO  com.generics.App - Max String is not present at Position 2!  c:; cd 'c:\Users\Rahul\java\generics'; & 'C:\Program Files\Java\jdk-18.0.2.1\bin\java.exe' '-XX:+ShowCodeDetailsInExceptionMessages' '@C:\Users\Rahul\AppData\Local\Temp\cp_eaks9z76ordtf4h8bxwpi2ljx.argfile' 'com.generics.App' 
2022-09-26 17:41:10.393 [main] INFO  com.generics.App - Max is not present at Position 2!  c:; cd 'c:\Users\Rahul\java\generics'; & 'C:\Program Files\Java\jdk-18.0.2.1\bin\java.exe' '-XX:+ShowCodeDetailsInExceptionMessages' '@C:\Users\Rahul\AppData\Local\Temp\cp_eaks9z76ordtf4h8bxwpi2ljx.argfile' 'com.generics.App' 
2022-09-26 17:41:14.246 [main] INFO  com.generics.App - Hello to Genrics Program!
2022-09-26 17:41:14.246 [main] INFO  com.generics.App - Give 3 inputs of integer:
2022-09-26 17:41:15.433 [main] INFO  com.generics.App - Max Number is not present at Position 2! 3
2022-09-26 17:41:15.434 [main] INFO  com.generics.App - Max is not present at Position 2! 0
2022-09-26 17:41:15.435 [main] INFO  com.generics.App - Give 3 inputs of strings:
2022-09-26 17:41:27.517 [main] INFO  com.generics.App - Max String is not present at Position 2!  c:; cd 'c:\Users\Rahul\java\generics'; & 'C:\Program Files\Java\jdk-18.0.2.1\bin\java.exe' '-XX:+ShowCodeDetailsInExceptionMessages' '@C:\Users\Rahul\AppData\Local\Temp\cp_eaks9z76ordtf4h8bxwpi2ljx.argfile' 'com.generics.App' 
2022-09-26 17:41:27.517 [main] INFO  com.generics.App - Max is not present at Position 2!  c:; cd 'c:\Users\Rahul\java\generics'; & 'C:\Program Files\Java\jdk-18.0.2.1\bin\java.exe' '-XX:+ShowCodeDetailsInExceptionMessages' '@C:\Users\Rahul\AppData\Local\Temp\cp_eaks9z76ordtf4h8bxwpi2ljx.argfile' 'com.generics.App' 
2022-09-26 17:42:49.370 [main] INFO  com.generics.App - Hello to Genrics Program!
2022-09-26 17:42:49.374 [main] INFO  com.generics.App - Give 3 inputs of integer:
